Participant ID,Name,College,State,Sport,Day of Participation,Feedback
56,Terry Bass,College D,Texas,Cricket,3,Could be better organized.
57,Edward Lopez,College C,California,Table Tennis,5,Would love to join next year!
58,Diana Watson,College C,New York,Athletics,1,Loved the competition!
59,Amanda Christian,College B,Texas,Badminton,4,Could be better organized.
60,Stacy Rogers,College C,Illinois,Football,3,Good but room for improvement.
61,Chad Young,College D,California,Cricket,1,Great experience!
62,Jose Charles,College E,Florida,Football,4,"Tough opponents, had fun!"
63,Lisa Morgan,College D,California,Athletics,4,Amazing facilities!
64,Julie Young,College B,Illinois,Basketball,4,Amazing facilities!
65,Mariah Singleton,College D,Texas,Volleyball,1,"Tough opponents, had fun!"
66,Tommy Morrow,College A,Florida,Cricket,2,Referees were biased!
67,Vincent Walker,College A,New York,Football,3,"Learned a lot, thank you!"
68,Mitchell Pitts,College B,Florida,Cricket,5,Loved the competition!
69,Manuel Hopkins,College C,Florida,Swimming,5,Would love to join next year!
70,Richard Thompson,College B,Texas,Athletics,4,"Tough opponents, had fun!"
71,Alicia Martinez,College D,California,Basketball,1,Loved the competition!
72,Nicholas Stewart,College D,Florida,Chess,2,Great experience!
73,Tammy Morse,College C,Florida,Swimming,2,Referees were biased!
74,Robin Miller,College A,California,Chess,4,"Tough opponents, had fun!"
75,Judith Cuevas,College D,Illinois,Basketball,1,Great experience!
76,Cory Sharp,College B,Texas,Table Tennis,4,Referees were biased!
77,Jack Rogers,College C,Illinois,Chess,3,Good but room for improvement.
78,Steven Burns,College E,California,Chess,4,Would love to join next year!
79,Kathleen Wagner,College E,New York,Table Tennis,4,"Learned a lot, thank you!"
80,Jessica Thompson,College A,Illinois,Basketball,2,"Learned a lot, thank you!"
81,Nicholas Castillo,College E,New York,Badminton,1,Would love to join next year!
82,Stephanie Schmitt,College B,California,Basketball,1,Great experience!
83,Heather Martin,College D,Florida,Volleyball,5,Loved the competition!
84,John Smith,College B,New York,Chess,2,Great experience!
85,Stacy Benjamin,College B,California,Basketball,5,Great experience!
86,Christian Pierce,College D,Florida,Swimming,5,Great experience!
87,Cathy Farmer,College A,Illinois,Tennis,5,Loved the competition!
88,Randy Roman,College D,Illinois,Football,4,Loved the competition!
89,Christian Myers,College C,Florida,Swimming,4,"Learned a lot, thank you!"
90,Karen Krueger,College C,Florida,Badminton,1,"Tough opponents, had fun!"
91,Mary Robinson,College C,California,Cricket,3,Amazing facilities!
92,Anthony Anderson,College B,Texas,Football,1,Referees were biased!
93,Carlos Reed,College B,California,Swimming,3,Amazing facilities!
94,Joshua Guzman,College D,Illinois,Volleyball,1,Amazing facilities!
95,Mrs. Karen Murphy,College D,California,Chess,5,"Tough opponents, had fun!"
96,David Booker,College D,California,Basketball,4,Amazing facilities!
97,Victoria Evans,College D,California,Chess,4,"Tough opponents, had fun!"
98,Megan Hale,College D,New York,Cricket,3,Loved the competition!
99,Joshua Wall,College E,New York,Cricket,4,"Learned a lot, thank you!"
100,Ryan Moses,College C,California,Swimming,3,"Tough opponents, had fun!"
101,Jeff Hughes,College B,New York,Swimming,2,"Tough opponents, had fun!"
102,Lindsey Hernandez,College C,Illinois,Tennis,5,Good but room for improvement.
103,David Hatfield,College A,New York,Athletics,5,Could be better organized.
104,Steven Cabrera,College C,Texas,Chess,4,Great experience!
105,Linda Smith,College C,Florida,Cricket,5,Could be better organized.
106,Christopher Hernandez,College A,Illinois,Tennis,4,Would love to join next year!
107,Michael Nunez,College D,Illinois,Swimming,4,Loved the competition!
108,Roy Carpenter,College E,Illinois,Football,1,Would love to join next year!
109,Kimberly Trevino,College E,Illinois,Badminton,4,Could be better organized.
110,Heather Lucas,College B,New York,Table Tennis,4,Great experience!
111,Kelly Gonzalez,College A,Illinois,Athletics,4,Good but room for improvement.
112,Jeffrey Coleman,College A,California,Basketball,2,Referees were biased!
113,Joseph Carrillo,College B,Florida,Table Tennis,3,Would love to join next year!
114,Adrian Wilkinson,College D,California,Badminton,5,Referees were biased!
115,Melinda Williams,College C,Florida,Table Tennis,1,Amazing facilities!
116,Michael Morgan,College E,Florida,Chess,5,"Tough opponents, had fun!"
117,Angela Barrett,College D,Illinois,Cricket,1,Could be better organized.
118,Gregory Carroll,College C,California,Cricket,5,Good but room for improvement.
119,Jose Sims,College A,Texas,Volleyball,2,Great experience!
120,Peter Steele,College E,California,Table Tennis,3,"Tough opponents, had fun!"
121,Brenda Mills,College E,New York,Chess,4,Amazing facilities!
122,Abigail Perez,College B,Illinois,Basketball,3,Could be better organized.
123,Matthew Harper,College B,Illinois,Table Tennis,4,"Tough opponents, had fun!"
124,Patrick Rivera,College C,Texas,Volleyball,5,Could be better organized.
125,Katie Parks,College B,Florida,Volleyball,3,Good but room for improvement.
126,Steven Moore,College D,Texas,Cricket,4,Good but room for improvement.
127,Christine Mclaughlin,College E,Florida,Swimming,3,Could be better organized.
128,Johnny Brown,College D,New York,Tennis,3,Good but room for improvement.
129,Matthew Romero,College D,New York,Table Tennis,3,"Learned a lot, thank you!"
130,April Snyder,College B,Illinois,Swimming,2,Loved the competition!
131,Jeffery Stewart,College B,California,Swimming,4,Loved the competition!
132,Jessica Powell,College A,Florida,Volleyball,2,Would love to join next year!
133,Kristina King,College B,California,Volleyball,3,Amazing facilities!
134,Levi Davis,College B,California,Athletics,4,Would love to join next year!
135,Jorge Harris,College B,Illinois,Athletics,1,Amazing facilities!
136,Richard Gonzalez Jr.,College A,New York,Chess,3,Loved the competition!
137,Mr. Michael Chavez Jr.,College C,Florida,Athletics,1,Could be better organized.
138,Dr. Christopher Perez,College A,Illinois,Basketball,2,"Learned a lot, thank you!"
139,Paul Mullen,College E,New York,Table Tennis,4,Could be better organized.
140,Janice Wallace,College D,Illinois,Basketball,5,Great experience!
141,Douglas Soto,College D,New York,Athletics,3,"Tough opponents, had fun!"
142,Melissa Keith,College B,Florida,Volleyball,2,"Learned a lot, thank you!"
143,Deborah Gutierrez,College D,New York,Chess,3,Could be better organized.
144,Kyle Drake,College A,Florida,Tennis,5,Referees were biased!
145,Kevin Lopez,College C,California,Basketball,3,Would love to join next year!
146,Courtney Stevens,College B,New York,Volleyball,1,"Learned a lot, thank you!"
147,Casey Rodriguez,College D,Texas,Table Tennis,1,Good but room for improvement.
148,Hannah Powell,College E,New York,Tennis,4,Good but room for improvement.
149,Adrian Garcia,College A,Texas,Athletics,2,Amazing facilities!
150,Jeffrey Lynch,College E,Illinois,Table Tennis,5,Great experience!
151,Melanie Dixon,College E,New York,Swimming,1,Amazing facilities!
152,Kelly Gutierrez,College E,Illinois,Cricket,5,Loved the competition!
153,William Contreras,College C,Florida,Table Tennis,5,Great experience!
154,Richard Dawson,College B,Texas,Basketball,3,Amazing facilities!
155,Jessica Clayton,College D,Illinois,Swimming,2,Could be better organized.
156,Michael Cooper,College C,Florida,Basketball,4,Loved the competition!
157,Cynthia Washington,College A,California,Volleyball,2,Could be better organized.
158,Stephanie Ramirez,College B,California,Chess,5,Good but room for improvement.
159,Diane Horton,College A,New York,Table Tennis,2,"Learned a lot, thank you!"
160,Richard Joseph,College E,Texas,Volleyball,1,Referees were biased!
161,Vincent Sullivan,College E,New York,Chess,5,Referees were biased!
162,Joe Roy,College A,Florida,Cricket,5,Great experience!
163,Sherry Jacobson,College C,Texas,Table Tennis,5,Amazing facilities!
164,Megan Pittman,College C,New York,Volleyball,2,Good but room for improvement.
165,Dustin Johnson,College E,Illinois,Swimming,1,"Learned a lot, thank you!"
166,Mariah Stuart,College B,Illinois,Volleyball,4,Great experience!
167,Miss Alicia Newman,College E,California,Swimming,1,Good but room for improvement.
168,Allison Gallagher,College D,Florida,Badminton,2,Would love to join next year!
169,David Greene,College D,Florida,Basketball,5,Good but room for improvement.
170,Andrew Allen,College C,Florida,Volleyball,2,Could be better organized.
171,Katelyn Garcia,College D,New York,Chess,2,Great experience!
172,Robin Scott,College E,Florida,Table Tennis,4,Amazing facilities!
173,Elizabeth Bonilla,College C,Texas,Volleyball,2,Great experience!
174,Samuel Vincent,College A,Florida,Table Tennis,1,Could be better organized.
175,Loretta Bowen,College E,Florida,Badminton,1,Amazing facilities!
176,Teresa Kim,College E,New York,Football,5,Referees were biased!
177,Kevin Kline,College C,California,Tennis,5,Would love to join next year!
178,Alexandra Johnson,College A,Texas,Basketball,2,Could be better organized.
179,Tiffany Green,College D,Florida,Cricket,5,Amazing facilities!
180,Jasmin Clark,College C,Texas,Football,5,"Learned a lot, thank you!"
181,Joseph Richardson Jr.,College C,New York,Badminton,5,"Learned a lot, thank you!"
182,Christopher Harris,College B,California,Football,4,Good but room for improvement.
183,Arthur Sullivan,College A,Illinois,Volleyball,4,Amazing facilities!
184,Pamela Figueroa,College C,Illinois,Tennis,5,Good but room for improvement.
185,Rebecca Flynn,College B,New York,Table Tennis,2,Could be better organized.
186,Robert Williamson,College D,Texas,Volleyball,1,"Learned a lot, thank you!"
187,Carrie Bush,College C,California,Athletics,5,Would love to join next year!
188,Dr. Patricia Henry,College C,Illinois,Table Tennis,1,Good but room for improvement.
189,Tasha Gomez,College C,Texas,Table Tennis,3,Could be better organized.
190,Richard Love,College E,New York,Table Tennis,2,"Learned a lot, thank you!"
191,Patty Hernandez,College B,California,Chess,2,Good but room for improvement.
192,Michael Watson,College C,California,Volleyball,2,Could be better organized.
193,Connie Parker,College B,Florida,Volleyball,1,Amazing facilities!
194,Tyler Williamson,College B,California,Cricket,2,Good but room for improvement.
195,Julie White,College D,Illinois,Cricket,4,Loved the competition!
196,Leah Weaver,College D,Texas,Badminton,2,Loved the competition!
197,Jonathan Sanders,College D,California,Chess,2,Good but room for improvement.
198,Lisa Tran,College D,Texas,Football,1,Great experience!
199,Michael Shaffer,College E,New York,Swimming,1,"Tough opponents, had fun!"
200,Nathan Abbott,College B,Florida,Tennis,1,Good but room for improvement.
201,Garrett Hicks,College D,Florida,Swimming,4,Good but room for improvement.
202,Michael Berry,College C,California,Swimming,3,Great experience!
203,Ann Powell,College C,Florida,Chess,3,Referees were biased!
204,Kirk Washington,College C,New York,Badminton,3,Amazing facilities!
205,Derek Le,College D,Texas,Badminton,4,Good but room for improvement.
206,Maria Hester,College C,New York,Chess,2,Amazing facilities!
207,Stephen Orr,College E,Florida,Tennis,2,Good but room for improvement.
208,Dawn Woods,College B,Texas,Athletics,1,"Learned a lot, thank you!"
209,Emily Miller,College B,California,Tennis,1,Could be better organized.
210,Lisa Andrade,College C,California,Swimming,4,Great experience!
211,Erik Lam,College D,California,Cricket,5,Could be better organized.
212,Ashley Lloyd,College C,Florida,Chess,2,Amazing facilities!
213,Dennis Hanna,College A,Florida,Chess,5,Good but room for improvement.
214,Robert Lopez,College B,Illinois,Chess,1,Loved the competition!
215,Mark Williams,College A,Illinois,Cricket,4,Great experience!
216,Andrew Hudson,College A,Texas,Cricket,4,Referees were biased!
217,Michael Williams,College E,Texas,Tennis,2,Loved the competition!
218,Sara Morton,College A,Florida,Cricket,5,Would love to join next year!
219,Margaret Drake,College C,New York,Basketball,4,"Tough opponents, had fun!"
220,Melvin Parker,College E,Texas,Cricket,5,Amazing facilities!
221,Allison Valentine,College E,Florida,Football,2,Good but room for improvement.
222,Sean Mclaughlin,College A,Florida,Volleyball,5,"Learned a lot, thank you!"
223,Heather Clark,College A,Florida,Cricket,4,Loved the competition!
224,Anthony Woodard,College B,Florida,Basketball,1,Loved the competition!
225,Paul Jennings,College E,California,Badminton,2,Would love to join next year!
226,Brian Morales,College B,Florida,Basketball,2,Could be better organized.
227,Anna Taylor,College D,Florida,Tennis,3,"Learned a lot, thank you!"
228,Dennis Wyatt,College E,Illinois,Basketball,4,Could be better organized.
229,John Curry,College E,California,Swimming,2,Good but room for improvement.
230,Heather Contreras,College A,Illinois,Badminton,5,Could be better organized.
231,Patrick Webb,College C,Florida,Chess,1,Referees were biased!
232,Christopher Reyes,College A,New York,Football,2,Good but room for improvement.
233,Gilbert Davis,College C,Florida,Table Tennis,5,Good but room for improvement.
234,Caleb Reyes,College E,California,Table Tennis,5,"Tough opponents, had fun!"
235,Courtney Long,College E,Illinois,Basketball,5,"Tough opponents, had fun!"
236,Joanna Bautista,College D,Texas,Football,5,"Tough opponents, had fun!"
237,Debra Smith,College B,Texas,Swimming,5,Loved the competition!
238,Laura Frost,College B,Illinois,Chess,5,Referees were biased!
239,Seth Brown,College C,Illinois,Volleyball,5,Would love to join next year!
240,Ruben Wilson,College C,California,Tennis,5,Loved the competition!
241,Julie Graham,College C,Florida,Table Tennis,4,Amazing facilities!
242,Kiara Acosta,College A,Illinois,Tennis,2,Amazing facilities!
243,Ashley Berry DDS,College A,Illinois,Cricket,4,Would love to join next year!
244,Diana Ochoa,College D,Texas,Table Tennis,4,Referees were biased!
245,Johnny Ortiz,College E,Texas,Swimming,5,"Learned a lot, thank you!"
246,Peter Young,College D,Texas,Athletics,1,Loved the competition!
247,Raymond Andrews,College B,New York,Volleyball,2,Loved the competition!
248,Amanda Johnson,College A,Texas,Tennis,5,"Tough opponents, had fun!"
249,Lisa Figueroa,College B,California,Table Tennis,5,"Learned a lot, thank you!"
250,Justin Joseph,College D,California,Table Tennis,5,Could be better organized.
251,Anthony Vega,College B,Florida,Table Tennis,3,"Learned a lot, thank you!"
252,Angel Smith,College D,New York,Table Tennis,3,"Learned a lot, thank you!"
253,Angela Gonzalez,College B,Florida,Athletics,5,Loved the competition!
254,Rebekah Kelley,College A,Texas,Football,4,"Learned a lot, thank you!"
255,Betty Keller,College B,Texas,Football,2,Referees were biased!
256,Melissa Oconnor,College D,Illinois,Football,2,Would love to join next year!
257,Aaron Williams,College D,California,Chess,4,Could be better organized.
258,Margaret Ramirez,College A,Illinois,Swimming,3,"Learned a lot, thank you!"
259,Jonathan Jacobs,College A,Florida,Cricket,1,Could be better organized.
260,Andrea Tran,College E,Illinois,Basketball,3,Great experience!
261,Sarah Webster,College E,California,Table Tennis,2,"Learned a lot, thank you!"
262,Johnny Combs,College D,Texas,Basketball,3,Would love to join next year!
263,Elizabeth York MD,College C,Illinois,Swimming,1,Would love to join next year!
264,Alicia Morgan,College C,Florida,Football,2,Amazing facilities!
265,Tammy Johnston,College D,Illinois,Football,2,Could be better organized.
266,David King,College E,New York,Basketball,1,Would love to join next year!
267,Erica Flynn,College E,California,Tennis,4,Could be better organized.
268,William Ware,College C,Texas,Athletics,5,Great experience!
269,Travis Davis,College D,Florida,Football,1,"Tough opponents, had fun!"
270,Benjamin Stark,College A,California,Football,3,Amazing facilities!
271,Michael Henry,College A,Texas,Football,3,"Tough opponents, had fun!"
272,Darren Rice,College A,Florida,Badminton,5,Great experience!
273,Amanda Barber,College D,California,Chess,3,Would love to join next year!
274,Robert Mckinney,College A,Illinois,Swimming,4,Could be better organized.
275,Ronald Scott,College C,Florida,Athletics,2,Amazing facilities!
276,Kristin Jones,College B,Florida,Table Tennis,4,Great experience!
277,Joann Carter,College A,Florida,Table Tennis,3,Could be better organized.
278,Autumn Hunt,College A,Illinois,Athletics,3,Could be better organized.
279,Bryan Hicks,College E,California,Tennis,5,Amazing facilities!
280,Erin Johnson,College C,Texas,Football,2,Referees were biased!
281,Molly Arroyo,College A,Illinois,Chess,2,Would love to join next year!
282,Diane Fisher,College E,Illinois,Athletics,3,"Learned a lot, thank you!"
283,Christopher Ramirez,College C,Illinois,Tennis,2,Amazing facilities!
284,Kimberly Drake,College B,Illinois,Table Tennis,5,Referees were biased!
285,Daniel Gomez,College C,Texas,Basketball,3,Amazing facilities!
286,Maria Evans,College C,New York,Badminton,5,Would love to join next year!
287,Emily Bryant,College B,Florida,Badminton,1,Amazing facilities!
288,Carrie Cruz,College C,California,Basketball,1,Loved the competition!
289,William Adams,College A,Illinois,Basketball,3,"Learned a lot, thank you!"
290,Mary Perry,College B,New York,Volleyball,4,Great experience!
291,Jordan Rangel,College A,California,Athletics,2,Loved the competition!
292,Steven Raymond,College A,California,Tennis,4,Would love to join next year!
293,Ann Schultz,College A,California,Volleyball,1,"Learned a lot, thank you!"
294,Belinda Bates,College B,New York,Tennis,3,Referees were biased!
295,Jane Harris,College A,Texas,Swimming,2,"Learned a lot, thank you!"
296,Logan Cole,College E,Florida,Cricket,1,"Learned a lot, thank you!"
297,Donna Moreno,College C,California,Basketball,1,Could be better organized.
298,Connie Glover PhD,College B,Illinois,Football,5,Good but room for improvement.
299,Amber Miller,College C,Florida,Football,1,Good but room for improvement.
300,Nicole Smith,College C,Illinois,Swimming,5,Would love to join next year!
